outcome,trophy_diff,elixir_diff,level_diff,deck_meta_score_diff,team_avg_elixir,opp_avg_elixir,team_avg_level,opp_avg_level,team_deck_meta_score,opp_deck_meta_score,team_underleveled_penalty,opp_underleveled_penalty,underleveled_diff,exp_level,battle_count,player_win_rate,hour_of_day,trophy_diff_category
1,,-0.125,0.125,0.10228617793941075,3.625,3.75,10.75,10.625,0.5871825826595676,0.4848964047201568,3.25,3.375,-0.125,77,8859,0.76,8,unknown
0,,-0.25,-0.875,0.05560729381217211,3.625,3.875,10.75,11.625,0.5871825826595676,0.5315752888473955,3.25,2.375,0.875,77,8859,0.76,20,unknown
1,,0.0,-1.625,0.07881542568540345,3.625,3.625,10.75,12.375,0.5871825826595676,0.5083671569741641,3.25,1.625,1.625,77,8859,0.76,18,unknown
0,,-0.25,0.75,0.08024099812752938,3.625,3.875,10.75,10.0,0.5871825826595676,0.5069415845320382,3.25,4.0,-0.75,77,8859,0.76,17,unknown
1,,-0.125,0.5,0.08108176641604514,3.625,3.75,10.75,10.25,0.5871825826595676,0.5061008162435224,3.25,3.75,-0.5,77,8859,0.76,16,unknown
1,,0.125,-2.75,0.09420067425461065,3.625,3.5,10.75,13.5,0.5871825826595676,0.4929819084049569,3.25,0.5,2.75,77,8859,0.76,12,unknown
1,,-0.25,0.875,0.040913093459824745,3.625,3.875,10.75,9.875,0.5871825826595676,0.5462694891997428,3.25,4.125,-0.875,77,8859,0.76,12,unknown
1,,-0.875,0.5,0.09719702432526456,3.625,4.5,10.75,10.25,0.5871825826595676,0.489985558334303,3.25,3.75,-0.5,77,8859,0.76,12,unknown
1,,-0.375,-2.625,0.10334617713111238,3.625,4.0,10.75,13.375,0.5871825826595676,0.4838364055284552,3.25,0.625,2.625,77,8859,0.76,12,unknown
1,,-0.25,0.25,0.0569031772594506,3.625,3.875,10.75,10.5,0.5871825826595676,0.530279405400117,3.25,3.5,-0.25,77,8859,0.76,8,unknown
1,,-0.25,0.0,0.05999123753796887,3.625,3.875,10.75,10.75,0.5871825826595676,0.5271913451215987,3.25,3.25,0.0,77,8859,0.76,8,unknown
1,,-1.0,-1.0,0.12562212521976057,3.625,4.625,10.75,11.75,0.5871825826595676,0.461560457439807,3.25,2.25,1.0,77,8859,0.76,20,unknown
0,0.0,-1.5,0.25,-0.058394606650570724,3.125,4.625,13.25,13.0,0.4802342403952492,0.5386288470458199,0.75,1.0,-0.25,72,16908,0.48,22,equal
0,-1.0,-1.0,1.375,-0.028622131955918007,3.125,4.125,13.25,11.875,0.4802342403952492,0.5088563723511672,0.75,2.125,-1.375,72,16908,0.48,22,equal
1,1.0,-0.5,1.0,-0.009438479055782156,3.125,3.625,13.25,12.25,0.4802342403952492,0.48967271945103136,0.75,1.75,-1.0,72,16908,0.48,11,equal
1,0.0,0.25,0.375,-0.01674664707008877,3.125,2.875,13.25,12.875,0.4802342403952492,0.496980887465338,0.75,1.125,-0.375,72,16908,0.48,10,equal
1,0.0,-1.125,0.375,-0.03253208421471643,3.125,4.25,13.25,12.875,0.4802342403952492,0.5127663246099656,0.75,1.125,-0.375,72,16908,0.48,10,equal
1,0.0,-1.125,2.125,0.020032337097330877,3.125,4.25,13.25,11.125,0.4802342403952492,0.4602019032979183,0.75,2.875,-2.125,72,16908,0.48,10,equal
0,0.0,-1.0,1.625,-0.01867669694899654,3.125,4.125,13.25,11.625,0.4802342403952492,0.49891093734424574,0.75,2.375,-1.625,72,16908,0.48,10,equal
0,0.0,-0.75,-0.375,-0.03435975992784435,3.125,3.875,13.25,13.625,0.4802342403952492,0.5145940003230935,0.75,0.375,0.375,72,16908,0.48,10,equal
1,0.0,-0.625,2.75,-0.01298103404014217,3.125,3.75,13.25,10.5,0.4802342403952492,0.49321527443539137,0.75,3.5,-2.75,72,16908,0.48,6,equal
1,0.0,0.375,2.5,-0.027828112748333522,3.125,2.75,13.25,10.75,0.4802342403952492,0.5080623531435827,0.75,3.25,-2.5,72,16908,0.48,6,equal
1,1.0,-0.5,1.25,-0.0027349201307462767,3.125,3.625,13.25,12.0,0.4802342403952492,0.4829691605259955,0.75,2.0,-1.25,72,16908,0.48,6,equal
0,1.0,0.125,-0.375,0.01892979271397599,3.125,3.0,13.25,13.625,0.4802342403952492,0.4613044476812732,0.75,0.375,0.375,72,16908,0.48,6,equal
0,-4.0,-0.375,-0.25,-0.03740244905074119,3.125,3.5,13.25,13.5,0.4802342403952492,0.5176366894459904,0.75,0.5,0.25,72,16908,0.48,6,equal
0,-4.0,-0.5,0.75,-0.03632436977773834,3.125,3.625,13.25,12.5,0.4802342403952492,0.5165586101729875,0.75,1.5,-0.75,72,16908,0.48,21,equal
0,-1.0,-0.75,0.625,-0.03650152336631762,3.125,3.875,13.25,12.625,0.4802342403952492,0.5167357637615668,0.75,1.375,-0.625,72,16908,0.48,21,equal
1,15.0,-1.375,1.125,-0.0071687512921293495,3.125,4.5,13.25,12.125,0.4802342403952492,0.48740299168737855,0.75,1.875,-1.125,72,16908,0.48,21,higher
0,0.0,-0.375,1.25,-0.007261321821476929,3.125,3.5,13.25,12.0,0.4802342403952492,0.48749556221672613,0.75,2.0,-1.25,72,16908,0.48,21,equal
0,0.0,0.25,2.0,-0.02382406798619352,3.125,2.875,13.25,11.25,0.4802342403952492,0.5040583083814427,0.75,2.75,-2.0,72,16908,0.48,21,equal
0,-1.0,-0.375,1.875,-0.051677556456288354,3.125,3.5,13.25,11.375,0.4802342403952492,0.5319117968515376,0.75,2.625,-1.875,72,16908,0.48,21,equal
1,-1.0,-0.25,1.25,0.011378178355840651,3.125,3.375,13.25,12.0,0.4802342403952492,0.46885606203940855,0.75,2.0,-1.25,72,16908,0.48,21,equal
0,0.0,0.5,0.0,-0.03556179052864972,3.125,2.625,13.25,13.25,0.4802342403952492,0.5157960309238989,0.75,0.75,0.0,72,16908,0.48,21,equal
1,1.0,-0.625,1.75,-0.03471288780280557,3.125,3.75,13.25,11.5,0.4802342403952492,0.5149471281980548,0.75,2.5,-1.75,72,16908,0.48,21,equal
1,1.0,-0.125,0.25,0.00837404263355257,3.125,3.25,13.25,13.0,0.4802342403952492,0.47186019776169663,0.75,1.0,-0.25,72,16908,0.48,21,equal
